dataset_name,is_benchmark,degree,interaction_only,max_features,mse
boston_housing,True,,,1,"2.8102834131203447
"
boston_housing,True,,,2,"2.8102834131203447
"
boston_housing,True,,,3,"2.8102834131203447
"
boston_housing,True,,,4,"2.8102834131203447
"
boston_housing,True,,,5,"2.8102834131203447
"
boston_housing,True,,,6,"2.8102834131203447
"
boston_housing,True,,,7,"2.8102834131203447
"
boston_housing,True,,,8,"2.8102834131203447
"
boston_housing,True,,,9,"2.8102834131203447
"
boston_housing,True,,,10,"2.8102834131203447
"
boston_housing,True,,,11,"2.8102834131203447
"
boston_housing,True,,,12,"2.8102834131203447
"
boston_housing,True,,,13,"2.8102834131203447
"
boston_housing,False,1.0,True,1,5.000767376843621
boston_housing,False,1.0,False,1,5.000767376843621
boston_housing,False,2.0,True,1,4.438907355888217
boston_housing,False,2.0,False,1,4.438907355888217
boston_housing,False,3.0,True,1,5.729033741296507
boston_housing,False,3.0,False,1,5.729033741296507
boston_housing,False,4.0,True,1,4.916804549273323
boston_housing,False,4.0,False,1,4.886258446001539
boston_housing,False,5.0,True,1,5.729033741296507
boston_housing,False,5.0,False,1,4.6063736448100965
boston_housing,False,1.0,True,2,3.714558025434905
boston_housing,False,1.0,False,2,3.714558025434905
boston_housing,False,2.0,True,2,4.342291956321866
boston_housing,False,2.0,False,2,4.342291956321866
boston_housing,False,3.0,True,2,4.339331565183752
boston_housing,False,3.0,False,2,3.784466465781717
boston_housing,False,4.0,True,2,4.599025981566486
boston_housing,False,4.0,False,2,4.130279630773208
boston_housing,False,5.0,True,2,4.667379069795795
boston_housing,False,5.0,False,2,4.050323340472053
boston_housing,False,1.0,True,3,3.1890131707284968
boston_housing,False,1.0,False,3,3.1890131707284968
boston_housing,False,2.0,True,3,3.879576876584221
boston_housing,False,2.0,False,3,3.879576876584221
boston_housing,False,3.0,True,3,3.482302141189576
boston_housing,False,3.0,False,3,3.5706906234516813
boston_housing,False,4.0,True,3,3.555083157034481
boston_housing,False,4.0,False,3,3.810873982485604
boston_housing,False,5.0,True,3,4.307792705648086
boston_housing,False,5.0,False,3,3.8616040145649633
boston_housing,False,1.0,True,4,3.27967641026366
boston_housing,False,1.0,False,4,3.27967641026366
boston_housing,False,2.0,True,4,3.3257131146449668
boston_housing,False,2.0,False,4,3.3257131146449668
boston_housing,False,3.0,True,4,3.502389238394943
boston_housing,False,3.0,False,4,3.558345444997152
boston_housing,False,4.0,True,4,3.513118478363636
boston_housing,False,4.0,False,4,3.770118791916791
boston_housing,False,5.0,True,4,3.331765477797564
boston_housing,False,5.0,False,4,3.668011284809487
boston_housing,False,1.0,True,5,3.10627047033871
boston_housing,False,1.0,False,5,3.10627047033871
boston_housing,False,2.0,True,5,3.1899316553976025
boston_housing,False,2.0,False,5,3.1899316553976025
boston_housing,False,3.0,True,5,3.67642702775843
boston_housing,False,3.0,False,5,3.1641184161691105
boston_housing,False,4.0,True,5,3.434938473794974
boston_housing,False,4.0,False,5,3.542623736811619
boston_housing,False,5.0,True,5,3.392590796713736
boston_housing,False,5.0,False,5,3.701699311125513
boston_housing,False,1.0,True,6,2.982946221968706
boston_housing,False,1.0,False,6,2.982946221968706
boston_housing,False,2.0,True,6,3.035087509716259
boston_housing,False,2.0,False,6,3.035087509716259
boston_housing,False,3.0,True,6,3.546312756631889
boston_housing,False,3.0,False,6,3.1374672964507453
boston_housing,False,4.0,True,6,3.484336259318333
boston_housing,False,4.0,False,6,3.5922122450435863
boston_housing,False,5.0,True,6,3.4642122352824494
boston_housing,False,5.0,False,6,3.669908908769196
boston_housing,False,1.0,True,7,2.878188898049149
boston_housing,False,1.0,False,7,2.878188898049149
boston_housing,False,2.0,True,7,2.8813013273126944
boston_housing,False,2.0,False,7,2.8813013273126944
boston_housing,False,3.0,True,7,3.6598149701660754
